transactionid,employeeid,time,amount,profit,customerid,stage
1,9,2020-01-01 11:00:00,2.4,0.48
2,0,2020-01-01 11:38:00,13.3,2.66
3,67,2020-01-01 12:11:00,62.5,12.5
4,14,2020-01-01 12:53:00,44.4,8.88
5,4,2020-01-01 13:06:00,143.5,28.7
6,2,2020-01-01 13:56:00,96.5,19.3
7,12,2020-01-01 14:41:00,34.2,6.84
8,7,2020-01-01 15:25:00,4.2,0.84
9,6,2020-01-01 16:17:00,59.7,11.94
10,6,2020-01-01 17:00:00,22.7,4.54
11,4,2020-01-01 17:41:00,11.6,2.32
12,12,2020-01-01 18:36:00,2.4,0.48
13,12,2020-01-01 19:36:00,2.4,0.48
14,13,2020-01-01 20:26:00,17.4,3.48
15,8,2020-01-01 20:37:00,127.7,25.54
16,7,2020-01-01 21:18:00,16.9,3.38
17,14,2020-01-01 21:21:00,13.2,2.64
18,4,2020-01-01 22:09:00,74.4,14.88
19,10,2020-01-01 22:36:00,17.0,3.4
20,14,2020-01-02 10:32:00,15.6,3.12
21,5,2020-01-02 10:46:00,8.5,1.7
22,7,2020-01-02 11:45:00,13.8,2.76
23,67,2020-01-02 12:39:00,20.7,4.14
24,1,2020-01-02 12:45:00,61.1,12.22
25,3,2020-01-02 13:41:00,11.9,2.38
26,2,2020-01-02 14:22:00,6.9,1.38
27,12,2020-01-02 15:11:00,49.7,9.94
28,12,2020-01-02 15:19:00,25.3,5.06
29,1,2020-01-02 16:01:00,15.4,3.08
30,68,2020-01-02 17:00:00,22.3,4.46
31,9,2020-01-02 17:24:00,275.4,55.08
32,5,2020-01-02 17:25:00,8.5,1.7
33,10,2020-01-02 18:18:00,12.2,2.44
34,4,2020-01-02 18:44:00,36.5,7.3
35,6,2020-01-02 19:33:00,6.8,1.36
36,4,2020-01-02 19:45:00,68.9,13.78
37,8,2020-01-02 19:58:00,2.4,0.48
38,0,2020-01-02 20:48:00,163.9,32.78
39,8,2020-01-02 20:59:00,11.4,2.28
40,12,2020-01-02 21:37:00,54.0,10.8
41,5,2020-01-02 22:37:00,146.9,29.38
42,6,2020-01-02 22:53:00,44.0,8.8
43,14,2020-01-03 10:16:00,45.5,9.1
44,13,2020-01-03 10:39:00,23.9,4.78
45,68,2020-01-03 10:46:00,22.3,4.46
46,7,2020-01-03 11:04:00,21.2,4.24
47,8,2020-01-03 11:34:00,10.1,2.02
48,13,2020-01-03 12:07:00,2.4,0.48
49,6,2020-01-03 12:51:00,17.8,3.56
50,68,2020-01-03 13:14:00,33.9,6.78
51,67,2020-01-03 13:47:00,10.6,2.12
52,2,2020-01-03 14:27:00,108.7,21.74
53,0,2020-01-03 14:31:00,30.7,6.14
54,4,2020-01-03 15:13:00,141.6,28.32
55,13,2020-01-03 15:49:00,4.2,0.84
56,3,2020-01-03 16:31:00,20.1,4.02
57,6,2020-01-03 17:07:00,66.6,13.32
58,14,2020-01-03 17:22:00,46.4,9.28
59,9,2020-01-03 18:11:00,10.9,2.18
60,9,2020-01-03 18:38:00,202.2,40.44
61,12,2020-01-03 18:51:00,8.5,1.7
62,5,2020-01-03 19:48:00,73.5,14.7
63,9,2020-01-03 20:00:00,27.3,5.46
64,10,2020-01-03 20:25:00,138.9,27.78
65,4,2020-01-03 21:19:00,5.0,1.0
66,1,2020-01-03 21:21:00,22.2,4.44
67,0,2020-01-03 22:20:00,212.7,42.54
68,3,2020-01-03 22:26:00,47.7,9.54
69,3,2020-01-03 22:55:00,12.7,2.54
70,13,2020-01-04 10:10:00,28.0,5.6
71,67,2020-01-04 10:18:00,105.0,21.0
72,9,2020-01-04 10:23:00,36.1,7.22
73,14,2020-01-04 10:31:00,2.1,0.42
74,6,2020-01-04 10:39:00,14.1,2.82
75,13,2020-01-04 10:44:00,18.8,3.76
76,2,2020-01-04 11:07:00,5.6,1.12
77,10,2020-01-04 11:10:00,18.6,3.72
78,0,2020-01-04 11:38:00,67.3,13.46
79,12,2020-01-04 11:57:00,8.5,1.7
80,1,2020-01-04 12:22:00,8.5,1.7
81,3,2020-01-04 12:41:00,28.3,5.66
82,2,2020-01-04 13:03:00,130.8,26.16
83,67,2020-01-04 13:31:00,12.3,2.46
84,8,2020-01-04 13:34:00,82.3,16.46
85,0,2020-01-04 14:02:00,19.4,3.88
86,14,2020-01-04 14:22:00,226.6,45.32
87,7,2020-01-04 14:31:00,24.2,4.84
88,6,2020-01-04 14:49:00,143.0,28.6
89,14,2020-01-04 15:12:00,52.6,10.52
90,13,2020-01-04 15:29:00,38.2,7.64
91,12,2020-01-04 15:36:00,16.7,3.34
92,2,2020-01-04 15:54:00,88.6,17.72
93,6,2020-01-04 16:24:00,107.5,21.5
94,8,2020-01-04 16:49:00,23.8,4.76
95,68,2020-01-04 17:15:00,36.8,7.36
96,2,2020-01-04 17:41:00,24.4,4.88
97,67,2020-01-04 18:08:00,21.8,4.36
98,14,2020-01-04 18:14:00,157.0,31.4
99,3,2020-01-04 18:30:00,58.4,11.68
100,0,2020-01-04 18:57:00,113.6,22.72
101,5,2020-01-04 19:12:00,26.8,5.36
102,14,2020-01-04 19:32:00,44.0,8.8
103,0,2020-01-04 19:45:00,45.5,9.1
104,4,2020-01-04 19:55:00,4.8,0.96
105,14,2020-01-04 20:04:00,20.2,4.04
106,67,2020-01-04 20:16:00,163.7,32.74
107,7,2020-01-04 20:24:00,2.4,0.48
108,10,2020-01-04 20:42:00,28.3,5.66
109,3,2020-01-04 20:43:00,21.8,4.36
110,67,2020-01-04 21:02:00,2.4,0.48
111,14,2020-01-04 21:03:00,10.1,2.02
112,14,2020-01-04 21:11:00,45.5,9.1
113,13,2020-01-04 21:17:00,24.4,4.88
114,9,2020-01-04 21:17:00,10.8,2.16
115,12,2020-01-04 21:27:00,35.5,7.1
116,7,2020-01-04 21:54:00,10.7,2.14
117,4,2020-01-04 22:22:00,71.5,14.3
118,6,2020-01-04 22:43:00,158.4,31.68
119,68,2020-01-04 22:57:00,27.4,5.48
120,10,2020-01-05 11:28:00,107.5,21.5
121,3,2020-01-05 11:49:00,174.3,34.86
122,4,2020-01-05 12:15:00,21.2,4.24
123,6,2020-01-05 13:04:00,57.1,11.42
124,1,2020-01-05 13:50:00,18.6,3.72
